"Product Code","Product Name",Variant,Expected,Counted
DIA01,"ឥដ្ឋ ប្រហោង",,20.0000,
DIG01,ខ្សាច់ទន្លេលេខ១,,0.0000,
DIG02,ខ្សាច់ទន្លេលេខ២,,0.0000,
DIG03,ខ្សាច់ស្ទឹងលេខ១,,0.0000,
DIG04,ខ្សាច់ស្ទឹងលេខ២,,0.0000,
DIG05,ខ្សាច់ស្អុយ,,0.0000,
DIG06,ខ្សាច់-ដី,,0.0000,
DIH01,"ថ្ម 1x2",,0.0000,
DIH02,"ថ្ម 2x3",,0.0000,
DIH03,"ថ្ម 4x6",,0.0000,
DII01,Morta,,0.0000,
DII02,"Lean Concrete",,0.0000,
DII03,"Concrete 20Mpa",,0.0000,
DII04,"Concrete 25Mpa",,0.0000,
DII05,"Concrete 28Mpa",,0.0000,
DII06,"Concrete 30Mpa",,0.0000,
DII07,"Concrete 32Mpa",,0.0000,
DII08,"Concrete 35Mpa",,0.0000,
DII09,"Concrete 40Mpa",,0.0000,
DII10,"Concrete 45Mpa",,0.0000,
DIJ01,"សំណាញ់ (Mesh cover net)",,0.0000,
